N,f=5_F=5,f=5_F=5_err,f=7_F=7,f=7_F=7_err,f=5_F=10,f=5_F=10_err
550,63.67283333333334,31.2259949783652,,,,
700,108.52966666666667,115.5226059552367,,,,
800,112.65633333333332,113.37975822939275,,,,
900,75.06813333333334,24.11962948890845,,,,
1000,119.3002,111.5153699020603,375.915,224.28166406091543,202.53063333333333,128.2847152690019
1100,159.4036,143.46805630292758,496.86476666666664,893.1234047948781,279.0303333333333,208.65446850248753
1200,94.3892,20.76780033914682,299.8442,157.53916818332303,189.76906666666667,16.84660860021651
1300,234.06413333333333,173.1268773129952,254.61860000000001,16.91545783516761,231.0824333333333,127.32739829233752
1400,101.51986666666667,18.77920824783504,530.2879333333334,885.3103026297778,234.9655666666667,132.56310683316917
1500,171.73566666666665,137.6361587841493,240.38316666666665,27.126668318382848,308.55196666666666,202.44747781407952
1600,168.8843,138.07616270218406,283.3043666666666,119.24660578656129,319.5643333333333,201.30675164804802
1700,212.11666666666665,153.6852056344035,475.1693333333333,392.1511582421872,266.7527666666667,123.79661358977296
1800,181.5826,101.01374255420234,363.32329999999996,168.14519567056723,963.8076,1897.2830241309214
1900,215.53293333333332,128.38834776319158,1390.3326666666667,3883.0563262461383,320.7328,170.94173645843972
2000,228.1972,126.30767842742843,404.35106666666667,185.7691121505283,417.8566666666667,385.48762641506687
2100,182.03606666666667,100.34838358602937,434.422,197.3177485993932,298.51059999999995,113.56364082900829
2200,337.61623333333335,156.63565296241535,385.48943333333335,142.56212491552196,288.58113333333336,29.950293693310517
2300,307.7010333333333,155.77293050104123,506.6374,186.0164923958984,476.2571,369.33674479843813
2400,221.75306666666668,90.24633613336087,513.1730333333334,195.06179264013295,838.2761666666667,351.9085761141979
2500,257.5289333333333,115.6727080643005,564.7406,238.737664926742,450.57663333333335,175.11573526722898
2600,213.69283333333334,96.2313116933476,817.2752333333333,524.2618306282928,421.70723333333336,106.38383935994331
2700,,,1090.1798000000001,464.3751309803602,,
2800,253.03196666666668,84.57390758708556,,,480.4619333333334,151.8478787898014
2900,322.6325,148.18712556269296,,,665.0426,374.5624732540265
3000,437.22863333333333,136.33299790702011,,,419.48693333333335,163.17227804173382
3100,540.4410333333333,838.3156996467475,,,1020.1063333333334,436.9485332863459
3200,372.23586666666665,116.62859821136877,,,1047.4044000000001,503.69410218627735
3300,376.42693333333335,140.0759637214592,,,1099.3448999999998,524.8034359094587
3400,551.6791333333333,447.33989641518554,,,2080.9979333333335,2102.058788186825
3500,714.5217,861.8041802284089,,,1273.0344333333333,557.5603138705524
5000,540.4802,321.12393509623865,,,,
