N,f=5_F=5,f=5_F=5_err,f=7_F=7,f=7_F=7_err,f=5_F=10,f=5_F=10_err
550,63.67283333,31.22599498,,,,
1000,119.3002,111.5153699,375.915,224.2816641,202.5306333,128.2847153
1500,171.7356667,137.6361588,240.3831667,27.12666832,308.5519667,202.4474778
2000,228.1972,126.3076784,404.3510667,185.7691122,417.8566667,385.4876264
2500,257.5289333,115.6727081,564.7406,238.7376649,450.5766333,175.1157353
3000,437.2286333,136.3329979,579.7746,214.6289767,419.4869333,163.172278
3500,274.1853,104.6021458,,,371.6467333,124.6494183
4000,330.0326333,141.5060734,,,496.0705,366.3437471
4500,352.8570333,98.50420077,,,,
5000,540.4802,321.1239351,,,,
