N,f=5_F=5,f=5_F=5_err,f=7_F=7,f=7_F=7_err,f=5_F=10,f=5_F=10_err
550,690.2988950729371,91.18043063130912,,,,
700,920.9338053385417,197.83096411884173,,,,
800,1040.5244099299114,167.908673976499,,,,
900,1157.3353672027588,176.6650347665985,,,,
1000,1383.052372233073,269.36965915330745,3040.216949335734,341.13731415227215,2519.565112686157,283.69523948815333
1100,1531.2593954722086,390.35479529040526,3346.6680504480996,537.7232165794944,2864.276403363546,314.43418023038487
1200,1708.2228611628213,112.23414227727882,3676.359887123108,319.0957087896997,3135.4440802256267,149.67688987063966
1300,1833.8432313919068,393.86421760069885,3963.8087637583417,145.8871628910008,3394.7987768809003,313.01641384258124
1400,1961.5204298655192,137.92120374415563,4539.226375643412,638.7273684851893,3671.767830848694,314.23488279761085
1500,2041.2746350606283,474.0313814655501,4843.231551742554,386.12359709669977,3941.7820987701416,404.5507824385594
1600,2223.1225054423016,446.32429620400893,5291.492389933268,479.84519557730385,4161.2387590408325,453.4169602090003
1700,2332.7669966379804,691.9848880089025,5744.817415301005,872.9518191506752,4398.670845794678,436.48092284919835
1800,2501.233408610026,650.8069627422718,6007.1466861089075,536.1987631601924,4923.326997375489,682.3661555060227
1900,2680.158125750224,851.3805902134374,6734.195628039042,2307.296584464825,5063.019983609517,556.6276906657489
2000,2903.5467295328776,890.4253537828927,6475.070923487346,725.5377258613815,5574.843289629618,688.1313167299505
2100,2937.5475655873615,806.5592206765322,6896.3510225931805,835.9087595186385,5751.002335675557,738.1131861151745
2200,3422.65331993103,495.60015219952635,7142.7183777491255,700.3561506935382,6172.096897188822,450.7217784130801
2300,3616.9829025904337,787.9419125789228,6803.300747680664,857.4841910779262,6512.579782231649,780.8725424830168
2400,3593.0329699834188,679.9056965651698,7330.240694999695,977.6571920724465,7131.1125087102255,575.7244080856464
2500,3847.6070216496787,697.6069068612345,7382.015778859456,751.0607045841311,7179.401319185893,819.2958085002316
2600,3778.3874746958413,1104.9208800323042,8031.980640920004,847.6805902312527,7374.422813351949,759.3840078662548
2700,,,8248.645747121174,1026.1301091213645,,
2800,4094.8167341868084,770.931104782892,,,7857.828650856018,822.8766446911185
2900,4306.248480542501,1031.4735765158518,,,8137.273399162293,913.8456064775345
3000,4251.911743545532,581.1563564576281,,,7879.6564821879065,1364.7152012286945
3100,4529.638344955444,1358.016877954517,,,8560.846262105306,958.4132035214642
3200,4836.129888852437,845.9480331889908,,,8849.525591595968,1033.5038518531692
3300,4939.45093720754,1157.2032200007784,,,9235.930154546102,619.372039881035
3400,5137.648271115621,942.8912511128106,,,9633.852666664123,1065.6740107696696
3500,5222.232500775655,1209.4830739812583,,,9797.44088452657,968.3003942566281
5000,8091.490820503235,1374.8867294868212,,,,
