N,f=5_F=5,f=5_F=5_err,f=7_F=7,f=7_F=7_err,f=5_F=10,f=5_F=10_err
550,690.2988951,91.18043063,,,,
1000,1383.052372,269.3696592,3040.216949,341.1373142,2519.565113,283.6952395
1500,2041.274635,474.0313815,4843.231552,386.1235971,3941.782099,404.5507824
2000,2903.54673,890.4253538,6475.070923,725.5377259,5574.84329,688.1313167
2500,3847.607022,697.6069069,7382.015779,751.0607046,7179.401319,819.2958085
3000,4251.911744,581.1563565,10278.76662,1142.895149,7879.656482,1364.715201
3500,5118.467654,908.042664,,,9346.413295,835.3211743
4000,6045.808948,1845.239728,,,10953.4522,1796.872428
4500,6863.804771,1376.244194,,,,
5000,8091.490821,1374.886729,,,,
