procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173748  24504 170828    0    0     3     3   69   71  3  1 97  0  0 2020-05-25 16:15:54
 0  0  91784 173748  24504 170828    0    0     0     0   77   61  0  0 100  0  0 2020-05-25 16:15:55
 0  0  91784 173748  24504 170828    0    0     0     4   35   44  1  0 99  0  0 2020-05-25 16:15:56
 0  0  91784 173748  24504 170828    0    0     0     0   47   52  0  1 99  0  0 2020-05-25 16:15:57
 0  0  91784 173748  24504 170828    0    0     0     0   52   50  0  2 98  0  0 2020-05-25 16:15:58
 0  0  91784 173748  24504 170828    0    0     0     0   47   45  0  0 100  0  0 2020-05-25 16:15:59
 0  0  91784 173748  24512 170828    0    0     0    40   71   76  1  0 99  0  0 2020-05-25 16:16:00
 1  0  91784 173748  24512 170828    0    0     0     0   40   59  6  0 94  0  0 2020-05-25 16:16:01
 0  0  91784 173748  24512 170828    0    0     0     0   57   72  2  0 98  0  0 2020-05-25 16:16:02
 0  0  91784 173748  24512 170828    0    0     0     0   77   97  0  1 99  0  0 2020-05-25 16:16:03
 0  0  91784 173748  24512 170828    0    0     0     0   40   48  1  1 98  0  0 2020-05-25 16:16:04
 1  0  91784 173748  24520 170828    0    0     0    12   72   80  0  1 98  1  0 2020-05-25 16:16:05
 0  0  91784 173748  24520 170828    0    0     0     4   36   47  0  0 100  0  0 2020-05-25 16:16:06
 0  0  91784 173756  24520 170828    0    0     0     0   29   37  1  0 99  0  0 2020-05-25 16:16:07
 0  0  91784 173756  24520 170828    0    0     0     0   67   58  0  0 100  0  0 2020-05-25 16:16:08
 0  0  91784 173756  24520 170828    0    0     0     0   31   38  0  0 100  0  0 2020-05-25 16:16:09
 0  0  91784 173756  24528 170828    0    0     0    12   71   83  0  0 100  0  0 2020-05-25 16:16:10
 1  0  91784 173756  24528 170828    0    0     0     0   35   50  0  0 100  0  0 2020-05-25 16:16:11
 0  0  91784 173756  24528 170828    0    0     0     0   32   40  0  1 99  0  0 2020-05-25 16:16:12
 0  0  91784 173756  24528 170828    0    0     0     0   46   52  0  0 100  0  0 2020-05-25 16:16:13
 0  0  91784 173756  24528 170828    0    0     0     0  107   97  0  0 100  0  0 2020-05-25 16:16:14
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173756  24536 170828    0    0     0    12  111  117  0  2 98  0  0 2020-05-25 16:16:15
 0  0  91784 173756  24536 170828    0    0     0   116   90  115  0  2 98  0  0 2020-05-25 16:16:16
 0  0  91784 173756  24536 170828    0    0     0     0   31   36  0  1 99  0  0 2020-05-25 16:16:17
 0  0  91784 173756  24536 170828    0    0     0     0   49   49  0  1 99  0  0 2020-05-25 16:16:18
 0  0  91784 173756  24536 170828    0    0     0     0   47   51  0  0 100  0  0 2020-05-25 16:16:19
 0  0  91784 173756  24544 170828    0    0     0    24   66   68  0  0 100  0  0 2020-05-25 16:16:20
 0  0  91784 173756  24544 170828    0    0     0     0   35   47  0  0 100  0  0 2020-05-25 16:16:21
 0  0  91784 173756  24544 170828    0    0     0     0   30   33  0  0 100  0  0 2020-05-25 16:16:22
 0  0  91784 173756  24544 170828    0    0     0     0   71   74  0  1 99  0  0 2020-05-25 16:16:23
 0  0  91784 173756  24544 170828    0    0     0     0  119  112  0  1 99  0  0 2020-05-25 16:16:24
 1  0  91784 173756  24552 170828    0    0     0    12  492  473 28  5 66  1  0 2020-05-25 16:16:25
 0  0  91784 173756  24552 170828    0    0     0     4   84   45 64  0 36  0  0 2020-05-25 16:16:26
 0  0  91784 173756  24552 170828    0    0     0     0   32   42  0  0 100  0  0 2020-05-25 16:16:27
 0  0  91784 173756  24552 170828    0    0     0     0   68   67  0  1 99  0  0 2020-05-25 16:16:28
 0  0  91784 173756  24552 170828    0    0     0     0   29   32  0  0 100  0  0 2020-05-25 16:16:29
 0  0  91784 173756  24560 170828    0    0     0    24   71   79  1  0 98  1  0 2020-05-25 16:16:30
 0  0  91784 173756  24560 170832    0    0     0     0   35   43  0  0 100  0  0 2020-05-25 16:16:31
 0  0  91784 173756  24560 170832    0    0     0     0   30   38  0  0 100  0  0 2020-05-25 16:16:32
 0  0  91784 173756  24560 170832    0    0     0     0   70   70  1  0 99  0  0 2020-05-25 16:16:33
 0  0  91784 173756  24560 170832    0    0     0     0   29   33  0  0 100  0  0 2020-05-25 16:16:34
 0  0  91784 173756  24568 170832    0    0     0    12  129  127  0  0 100  0  0 2020-05-25 16:16:35
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173756  24568 170832    0    0     0     0   57   58  0  0 100  0  0 2020-05-25 16:16:36
 0  0  91784 173756  24568 170832    0    0     0     0   79   62  1  0 99  0  0 2020-05-25 16:16:37
 0  0  91784 173756  24568 170832    0    0     0     0   66   55  0  0 100  0  0 2020-05-25 16:16:38
 0  0  91784 173756  24568 170832    0    0     0     0   33   41  0  0 100  0  0 2020-05-25 16:16:39
 0  0  91784 173756  24576 170832    0    0     0    12   65   69  0  0 100  0  0 2020-05-25 16:16:40
 0  0  91784 173756  24576 170832    0    0     0     0   41   66  0  0 100  0  0 2020-05-25 16:16:41
 0  0  91784 173756  24576 170832    0    0     0     0   30   37  1  0 99  0  0 2020-05-25 16:16:42
 0  0  91784 173764  24576 170832    0    0     0     0   67   69  1  0 99  0  0 2020-05-25 16:16:43
 0  0  91784 173764  24576 170832    0    0     0     0   36   51  0  0 100  0  0 2020-05-25 16:16:44
 0  0  91784 173764  24584 170832    0    0     0    12   69   75  0  0 100  0  0 2020-05-25 16:16:45
 0  0  91784 173764  24584 170832    0    0     0     0   58   57  0  1 99  0  0 2020-05-25 16:16:46
 0  0  91784 173764  24584 170832    0    0     0     0   35   45  0  0 100  0  0 2020-05-25 16:16:47
 0  0  91784 173764  24584 170832    0    0     0     0   60   51  0  0 100  0  0 2020-05-25 16:16:48
 0  0  91784 173764  24584 170832    0    0     0     0   31   33  0  0 100  0  0 2020-05-25 16:16:49
 0  0  91784 173764  24592 170832    0    0     0    12   74   87  0  1 99  0  0 2020-05-25 16:16:50
 0  0  91784 173764  24592 170832    0    0     0    20  141  240 24  0 76  0  0 2020-05-25 16:16:51
 0  0  91784 173764  24592 170832    0    0     0     0   32   39  0  0 100  0  0 2020-05-25 16:16:52
 0  0  91784 173764  24592 170832    0    0     0     0   66   66  0  0 100  0  0 2020-05-25 16:16:53
 0  0  91784 173764  24592 170832    0    0     0     0   41   61  0  0 100  0  0 2020-05-25 16:16:54
 0  0  91784 173764  24600 170832    0    0     0    12  105   99  1  1 97  1  0 2020-05-25 16:16:55
 0  0  91784 173764  24600 170832    0    0     0     4   88   91  0  0 100  0  0 2020-05-25 16:16:56
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173764  24600 170832    0    0     0     0   73   88  0  1 99  0  0 2020-05-25 16:16:57
 0  0  91784 173764  24600 170832    0    0     0     0   67   57  0  0 100  0  0 2020-05-25 16:16:58
 0  0  91784 173764  24600 170832    0    0     0     0   31   39  0  0 100  0  0 2020-05-25 16:16:59
 0  0  91784 173764  24608 170836    0    0     0    12   71   78  0  0 100  0  0 2020-05-25 16:17:00
 0  0  91784 173764  24608 170836    0    0     0     8   44   72  8  1 91  0  0 2020-05-25 16:17:01
