procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 163574  23870 181800    0    0     0    12   55   99  0  3 97  0  0 2020-05-25 19:38:22
 0  0  91819 163574  23870 181800    0    0     0     0   65   61  0  0 100  0  0 2020-05-25 19:38:23
 0  0  91819 163574  23870 181800    0    0     0     0   51   49  0  0 100  0  0 2020-05-25 19:38:24
 0  0  91819 163574  23870 181800    0    0     0     0   44   42  0  1 99  0  0 2020-05-25 19:38:25
 0  0  91819 163574  23939 181800    0    0     0    12   74   81  0  1 99  0  0 2020-05-25 19:38:26
 0  0  91819 163574  23939 181800    0    0     0    20   52   69  0  0 100  0  0 2020-05-25 19:38:27
 0  0  91819 163574  23939 181800    0    0     0     0   50   53  0  0 100  0  0 2020-05-25 19:38:28
 0  0  91819 163574  23939 181800    0    0     0     0   50   45  0  0 100  0  0 2020-05-25 19:38:29
 0  0  91819 163574  23939 181800    0    0     0     0   50   65  1  0 99  0  0 2020-05-25 19:38:30
 0  0  91819 163574  24489 181800    0    0     0     0   35   38  0  1 99  0  0 2020-05-25 19:38:31
 0  0  91819 163574  24489 181800    0    0     0     0  191  189  5  2 93  0  0 2020-05-25 19:38:32
 0  0  91819 163574  24489 181800    0    0     0     8   33   45  0  0 100  0  0 2020-05-25 19:38:33
 0  0  91819 163574  24489 181800    0    0     0     0   37   48  0  0 100  0  0 2020-05-25 19:38:34
 0  0  91819 163574  24489 181800    0    0     0    12   74   95  0  0 99  1  0 2020-05-25 19:38:35
 0  0  91819 163574  23865 181800    0    0     0     0   49   58  0  0 100  0  0 2020-05-25 19:38:36
 0  0  91819 163574  23865 181800    0    0     0     0   51   52  0  1 99  0  0 2020-05-25 19:38:37
 0  0  91819 163574  23865 181800    0    0     0     0   31   36  0  0 100  0  0 2020-05-25 19:38:38
 0  0  91819 163574  23865 181800    0    0     0     0   48   59  0  0 100  0  0 2020-05-25 19:38:39
 0  0  91819 163574  23865 181800    0    0     0     0   35   42  0  1 99  0  0 2020-05-25 19:38:40
 0  0  91819 163574  23906 181800    0    0     0     0   31   41  1  0 99  0  0 2020-05-25 19:38:41
 0  0  91819 163574  23906 181811    0    0     0    12   68   80  0  0 99  1  0 2020-05-25 19:38:42
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 163574  23906 181811    0    0     0     0   45   47  0  0 100  0  0 2020-05-25 19:38:43
